symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
STOUSDT,20.882352941176507,2.0393209512884747,0,-0.021148,0,-3.633187771500003,1775417260,19,6,0.8,bear,mean_reversion,normal,0.0044785714285714194,high,us,0,,live_ai_risk_v1,-3.633187771500003,0.16640000000000021,0.16276681222850023,0.3291668122285004,-3.9623545837285032,0.0,-2.18340611353712,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
TRUUSDT,38.095238095238095,2.029858975651791,1,0.0004299999999999998,1,8.914285714199998,1775417963,19,6,0.75,bull,breakout,normal,0.0003357142857142857,high,us,0,,live_ai_risk_v1,8.914285714199998,0.16640000000000021,0.1753142857142002,0.3417142857142004,8.572571428485798,5.357142857142856,0.0,0.01,0,,0,,1,清明节,0,medium,1,normal,ok
AVAXUSDT,23.076923076923123,0.1908059756597991,0,-0.2663999999999991,0,-1.1205387000000093,1775520330,0,1,0.8,bear,mean_reversion,normal,0.05500000000000022,low,asia,0,,live_ai_risk_v1,-1.1205387000000093,0.16640000000000021,0.1652794613000002,0.3316794613000004,-1.4522181613000098,0.0,-0.673400673400679,0.01,0,,0,,0,,0,normal,1,normal,ok
AVAXUSDT,17.64705882352905,0.4081292548344265,0,-0.24540000000000006,0,-1.1358361799999759,1775524560,1,1,0.8,bear,mean_reversion,normal,0.031428571428571646,low,asia,0,,live_ai_risk_v1,-1.1358361799999759,0.16640000000000021,0.16526416382000023,0.3316641638200004,-1.4675003438199763,0.22753128555177876,-0.6825938566552756,0.01,0,,0,,0,,0,normal,1,normal,ok
AVAXUSDT,27.777777777777942,0.7013907085409671,0,-0.23220000000000063,0,-0.9508571500000136,1775526099,1,1,0.8,bear,mean_reversion,normal,0.03000000000000012,low,asia,0,,live_ai_risk_v1,-0.9508571500000136,0.16640000000000021,0.1654491428500002,0.33184914285000044,-1.2827062928500141,0.0,-0.5714285714285796,0.01,0,,0,,0,,0,normal,0,normal,ok
XRPUSDT,26.744186046511444,0.01748425706865991,0,-0.00770000000000004,1,0.030355731299996656,1775526915,1,1,0.8,bear,mean_reversion,normal,0.002121428571428528,low,asia,0,,live_ai_risk_v1,0.030355731299996656,0.13312000000000015,0.13315035573130016,0.2662703557313003,-0.23591462443130365,0.28124049863178885,-0.11401641836424876,0.01,0,,0,,0,,0,normal,1,normal,ok
PAXGUSDT,29.641615725758584,0.10952242216713766,0,-29.20139999999992,1,0.3404350399999949,1775526920,1,1,0.8,bear,mean_reversion,normal,12.566428571428657,low,asia,0,,live_ai_risk_v1,0.3404350399999949,0.10649600000000012,0.10683643504000011,0.2133324350400002,0.1271026049599947,0.5397949689981028,-0.04467567843054776,0.01,0,,0,,0,,0,normal,0,normal,ok
AVAXUSDT,27.272727272728147,1.720832220123645,0,-0.20359999999999978,0,-0.8161432800000067,1775527901,2,1,0.8,bear,mean_reversion,normal,0.03357142857142913,low,asia,0,,live_ai_risk_v1,-0.8161432800000067,0.11847680000000015,0.11766065672000013,0.23613745672000028,-1.0522807367200069,0.0,-0.6888633754305452,0.01,0,,0,,0,,0,normal,0,normal,ok
KITEUSDT,39.68253968253972,1.5739049542332313,1,0.0011940000000000006,1,6.133176371400001,1775531001,3,1,0.75,bull,breakout,normal,0.001614285714285717,medium,asia,0,,live_ai_risk_v1,6.133176371400001,0.12140544000000014,0.12753861637140015,0.2489440563714003,5.8842323150286004,5.051813471502591,0.0,0.01,0,,0,,0,,0,normal,1,normal,ok
BANKUSDT,28.124999999999844,0.03898217348156709,1,0.0004699999999999982,0,-1.0632337556999811,1775533326,3,1,0.8,bull,mean_reversion,aggressive,0.0006642857142857145,medium,asia,0,,live_ai_risk_v1,-1.0632337556999811,0.14211891200000018,0.1410556782443002,0.28317459024430036,-1.3464083459442815,2.493765586034915,-0.7481296758104607,0.0125,0,,0,,0,,0,normal,1,aggressive,ok
