symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
AAVEUSDT,24.742268041237722,0.09812572721011353,1,0.13360000000000127,0,-0.4519850400000089,1775640870,9,2,0.8,bull,mean_reversion,aggressive,0.202142857142857,low,europe,0,,live_ai_risk_v2,-0.4519850400000089,0.16640000000000021,0.1659480149600002,0.33234801496000044,-0.7843330549600094,0.010447137484334639,-0.27162557459256703,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
NOMUSDT,28.571428571428513,2.2471895683730514,0,-0.0004474000000000006,0,-4.25383458647,1775641487,9,2,0.8,sideways,mean_reversion,conservative,0.00013285714285714284,medium,europe,0,,live_ai_risk_v2,-4.25383458647,0.16640000000000021,0.16214616541353022,0.32854616541353043,-4.58238075188353,0.4511278195488799,-2.5563909774436095,0.005,0,,0,,0,,0,normal,0,conservative,ok
XAUTUSDT,27.783310097590245,1.1069079940993365,0,-30.025400000000445,0,-0.12288966000000305,1775641488,9,2,0.8,sideways,mean_reversion,conservative,6.575714285714314,low,europe,0,,live_ai_risk_v2,-0.12288966000000305,0.13312000000000015,0.13299711034000014,0.2661171103400003,-0.38900677034000336,0.22699298576919485,-0.09231469616240871,0.005,0,,0,,0,,0,normal,0,conservative,ok
NOMUSDT,20.731707317073116,2.9115413605070417,0,-0.0006787999999999994,0,-2.8870662460199963,1775644457,10,2,0.8,sideways,mean_reversion,conservative,0.00011571428571428564,medium,europe,0,,live_ai_risk_v2,-2.8870662460199963,0.16640000000000021,0.1635129337539802,0.32991293375398045,-3.216979179773977,0.7886435331230237,-1.7350157728706601,0.005,0,,0,,0,,0,normal,0,conservative,ok
TAOUSDT,28.85906040268469,0.1351821993588028,0,-1.8599999999999568,0,-0.774854,1775644820,10,2,0.8,sideways,mean_reversion,conservative,1.6785714285714408,low,europe,0,,live_ai_risk_v2,-0.774854,0.13312000000000015,0.13234514600000014,0.26546514600000026,-1.0403191460000003,0.05820721769499087,-0.5820721769499417,0.005,0,,0,,0,,0,normal,0,conservative,ok
NEARUSDT,29.999999999999943,0.3635191131008433,1,0.0016599999999999948,0,-0.7047529380000093,1775645968,10,2,0.8,bull,mean_reversion,aggressive,0.005499999999999965,low,europe,0,,live_ai_risk_v2,-0.7047529380000093,0.10649600000000012,0.10579124706200012,0.21228724706200025,-0.9170401850620096,0.0,-0.6617647058823616,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
RENDERUSDT,16.3934426229511,1.4305429203786746,0,-0.02434000000000003,0,-0.359090557000006,1775646177,11,2,0.8,sideways,mean_reversion,conservative,0.007857142857142849,low,europe,0,,live_ai_risk_v2,-0.359090557000006,0.10649600000000012,0.10613690944300012,0.21263290944300023,-0.5717234664430062,0.28901734104045196,-0.3371868978805451,0.005,0,,0,,0,,0,normal,0,conservative,ok
FETUSDT,22.018348623853285,0.13852942388942432,0,-0.004675999999999958,1,0.2237310925000002,1775646387,11,2,0.8,sideways,mean_reversion,conservative,0.0013785714285714334,low,europe,0,,live_ai_risk_v2,0.2237310925000002,0.11182080000000014,0.11204453109250014,0.22386533109250029,-0.00013423859250008552,1.0004001600640264,-0.08003201280512434,0.005,0,,0,,0,,0,normal,0,conservative,ok
HBARUSDT,26.724137931034548,1.588521356056791,0,-0.0002011999999999986,1,0.42614153838001,1775648272,11,2,0.8,bear,mean_reversion,normal,0.000241428571428572,low,europe,0,,live_ai_risk_v2,0.42614153838001,0.14403584000000016,0.14446198153838016,0.28849782153838033,0.13764371684162968,0.5917159763313748,0.0,0.01,0,,0,,0,,0,normal,0,normal,ok
ADAUSDT,26.315789473684447,0.04378099505629006,0,-0.002728000000000008,1,0.1606142006999823,1775648475,11,2,0.8,sideways,mean_reversion,conservative,0.0006214285714285625,low,europe,0,,live_ai_risk_v2,0.1606142006999823,0.13759283200000014,0.13775344620070012,0.27534627820070023,-0.11473207750071793,0.5058365758754738,-0.15564202334630794,0.005,0,,0,,0,,0,normal,1,conservative,ok
DOGEUSDT,22.1374045801533,0.12306552928387034,0,-0.0006332000000000004,1,0.07024522373998901,1775648480,11,2,0.8,sideways,mean_reversion,conservative,0.00021142857142856776,low,europe,0,,live_ai_risk_v2,0.07024522373998901,0.11007426560000011,0.11014451082374009,0.22021877642374021,-0.1499735526837512,0.32971708147201745,-0.021272069772395364,0.005,0,,0,,0,,0,normal,0,conservative,ok
DOGEUSDT,35.76158940397349,0.021666468639196836,0,-0.0004790000000000072,1,0.795749202899986,1775651164,12,2,0.7,sideways,trend,conservative,0.00020142857142857164,low,europe,0,,live_ai_risk_v2,0.795749202899986,0.1664000000000002,0.16719574920290017,0.33359574920290036,0.4621534536970856,0.8714133900106283,0.0,0.005,0,,0,,0,,0,normal,1,conservative,ok
KITEUSDT,28.947368421052587,1.167050637900884,0,-0.001691999999999999,1,1.211944646250001,1775651989,12,2,0.8,bear,mean_reversion,normal,0.0006285714285714307,low,europe,0,,live_ai_risk_v2,1.211944646250001,0.06656000000000006,0.06777194464625007,0.13433194464625015,1.0776127016037509,3.131828113619809,0.0,0.01,0,,0,,0,,0,normal,0,normal,ok
REDUSDT,24.203821656050863,0.0038463867123708626,0,-0.008452000000000015,0,0.0,1775653510,13,2,0.8,bear,mean_reversion,normal,0.0021500000000000013,medium,us,0,,live_ai_risk_v2,0.0,0.10649600000000009,0.10649600000000009,0.21299200000000018,-0.21299200000000018,1.3333333333333344,-0.05333333333332746,0.01,0,,0,,0,,0,normal,1,normal,ok
JOEUSDT,8.695652173912947,1.9399041080302817,0,-0.004296000000000001,0,0.0,1775654944,13,2,0.8,bear,mean_reversion,normal,0.0012714285714285711,medium,us,0,,live_ai_risk_v2,0.0,0.059904000000000054,0.059904000000000054,0.11980800000000011,-0.11980800000000011,2.5134649910233366,-0.5385996409335757,0.01,0,,0,,0,,0,normal,1,normal,ok
TAOUSDT,28.947368421052786,2.9990651878708987,0,-3.334000000000003,0,-0.1516460000000129,1775655585,13,2,0.8,sideways,mean_reversion,conservative,1.8357142857142768,low,us,0,,live_ai_risk_v2,-0.1516460000000129,0.12912640000000014,0.12897475400000014,0.2581011540000003,-0.40974715400001316,0.9395184967704019,-0.11743981209631066,0.005,0,,0,,0,,0,normal,0,conservative,ok
USD1USDT,20.0,6.002903337339735,0,-0.000324000000000102,0,-0.012870975899998582,1775656413,13,2,0.8,bear,mean_reversion,normal,0.00013571428571429456,low,us,0,,live_ai_risk_v2,-0.012870975899998582,0.1285939200000001,0.1285810490241001,0.2571749690241002,-0.2700459449240988,0.010009008107295466,-0.010009008107295466,0.01,0,,0,,0,,0,normal,0,normal,ok
