2026-04-14 05:29:07 | BUY | BARDUSDT | entry=0.334100 | qty=408.803457 | capital=136.58 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 06:32:35 | SELL | BARDUSDT | reason=time_exit | price=0.332200 | qty=408.803457 | pnl=-0.7767 | pnl_net=-1.0491 | profit_pct=-0.57% | time=63.5m
2026-04-14 06:42:09 | BUY | XAUTUSDT | entry=4753.120000 | qty=0.028735 | capital=136.58 | strategy=mean_reversion | risk_mode=aggressive | tp=4.21% | sl=-2.00%
2026-04-14 07:17:27 | SELL | ADAUSDT | reason=time_exit | price=0.244500 | qty=878.946374 | pnl=1.4942 | pnl_net=1.0659 | profit_pct=0.70% | time=121.1m
2026-04-14 07:17:29 | BUY | DOGEUSDT | entry=0.094120 | qty=1614.392518 | capital=151.95 | strategy=mean_reversion | risk_mode=aggressive | tp=4.21% | sl=-2.00%
2026-04-14 07:24:27 | SELL | BTCUSDT | reason=time_exit | price=74576.820000 | qty=0.002290 | pnl=0.0648 | pnl_net=-0.2767 | profit_pct=0.04% | time=121.7m
2026-04-14 07:26:58 | BUY | ENJUSDT | entry=0.047490 | qty=3278.639878 | capital=155.70 | strategy=mean_reversion | risk_mode=conservative | tp=4.95% | sl=-2.00%
2026-04-14 07:30:46 | SELL | ENJUSDT | reason=stop_loss | price=0.046360 | qty=3278.639878 | pnl=-3.7049 | pnl_net=-4.0126 | profit_pct=-2.38% | time=3.8m
2026-04-14 07:33:18 | BUY | BARDUSDT | entry=0.324500 | qty=479.823136 | capital=155.70 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
2026-04-14 08:43:17 | SELL | XAUTUSDT | reason=time_exit | price=4754.430000 | qty=0.028735 | pnl=0.0376 | pnl_net=-0.2356 | profit_pct=0.03% | time=121.1m
2026-04-14 09:04:41 | BUY | DOTUSDT | entry=1.175000 | qty=129.258156 | capital=151.88 | strategy=mean_reversion | risk_mode=normal | tp=4.21% | sl=-2.00%
2026-04-14 09:17:48 | SELL | DOGEUSDT | reason=time_exit | price=0.094220 | qty=1614.392518 | pnl=0.1614 | pnl_net=-0.1426 | profit_pct=0.11% | time=120.3m
2026-04-14 09:20:21 | BUY | WLDUSDT | entry=0.313400 | qty=484.658556 | capital=151.89 | strategy=mean_reversion | risk_mode=conservative | tp=4.21% | sl=-2.00%
