symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,result_net,risk_per_trade_used,is_holiday_ar,holiday_name_ar,is_holiday_eu,holiday_name_eu,is_holiday_asia,holiday_name_asia,is_good_friday,liquidity_mode,ai_trade_decision,ai_context_risk,trade_filter_reason
PEPEUSDT,25.000000000000014,0.001412981931644384,0,-1.0000000000000751e-09,1,1.2264837904268482,1776022828,19,6,0.8,bear,mean_reversion,normal,1.2142857142857057e-08,low,us,0,,live_ai_risk_v3,1.2264837904268482,0.21340817953427402,0.21463466332470085,0.42804284285897487,0.7984409475678733,0.5747126436781553,-0.2873563218390899,1,0.01,0,,0,,0,,0,normal,0,normal,ok
AVAXUSDT,28.5714285714282,0.022225185070888595,1,0.025000000000000355,1,0.9401241500000133,1776022835,19,6,0.8,bull,mean_reversion,aggressive,0.019285714285714,low,us,0,,live_ai_risk_v3,0.9401241500000133,0.1707265436274192,0.1716666677774192,0.3423932114048384,0.5977309385951748,0.5506607929515497,-0.11013215859030602,1,0.0125,0,,0,,0,,0,normal,1,aggressive,ok
DOGEUSDT,27.65957446808548,0.10167468426712,1,0.00011220000000000674,1,0.6601026291200147,1776023234,19,6,0.8,sideways,mean_reversion,aggressive,7.78571428571434e-05,low,us,0,,live_ai_risk_v3,0.6601026291200147,0.13658123490193536,0.13724133753105536,0.2738225724329907,0.38628005668702403,0.4833040421792727,-0.19771528998242488,1,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
ZECUSDT,47.975460122699495,1.5965246257937573,1,0.4362000000000421,0,-1.6057100399999948,1776026946,20,6,0.75,bull,breakout,normal,1.1042857142857128,low,us,0,,live_ai_risk_v3,-1.6057100399999948,0.21340817953427402,0.21180246949427403,0.42521064902854805,-2.0309206890285427,0.035439725205821775,-1.4012322119840759,0,0.01,0,,0,,0,,0,normal,1,normal,ok
TRXUSDT,18.181818181817263,0.03451739965182473,0,-0.00036600000000003297,0,-0.1325105119999854,1776030965,21,6,0.8,sideways,mean_reversion,normal,0.00022857142857142323,low,off,0,,live_ai_risk_v3,-0.1325105119999854,0.21340817953427402,0.21327566902227404,0.42668384855654806,-0.5591943605565335,0.15523129462899735,-0.06209251785159204,0,0.01,0,,0,,0,,0,medium,1,normal,ok
BTCUSDT,29.702984175041863,6.56612661113743,0,-432.6296000000002,0,-0.23065770000000702,1776031501,22,6,0.8,bear,mean_reversion,normal,129.91785714285757,low,off,0,,live_ai_risk_v3,-0.23065770000000702,0.1707265436274192,0.1704958859274192,0.3412224295548384,-0.5718801295548455,0.2646065890815298,-0.23118617039323963,0,0.01,0,,0,,0,,0,medium,1,normal,ok
BNBUSDT,27.904040404039335,0.0,0,-1.179399999999987,0,-0.24677838000001154,1776031503,22,6,0.8,bear,mean_reversion,normal,0.8071428571428702,low,off,0,,live_ai_risk_v3,-0.24677838000001154,0.13658123490193536,0.13633445652193532,0.2729156914238707,-0.5196940714238822,0.23471800067544515,-0.20770010131712563,0,0.01,0,,0,,0,,0,medium,1,normal,ok
TRXUSDT,29.41176470588408,0.1886749312260119,0,-0.0007860000000000089,1,0.0944941689999896,1776037061,23,6,0.8,sideways,mean_reversion,normal,0.0002357142857142875,low,off,0,,live_ai_risk_v3,0.0944941689999896,0.1519466238284031,0.1520411179974031,0.30398774182580623,-0.20949357282581665,0.18656716417910119,-0.062189054726361305,0,0.01,0,,0,,0,,0,medium,1,normal,ok
ENJUSDT,23.969072164948543,0.09467618724784797,0,-0.002326799999999997,1,1.7627022336000155,1776039107,0,0,0.8,sideways,mean_reversion,conservative,0.0005142857142857161,medium,asia,0,,live_ai_risk_v3,1.7627022336000155,0.1830188547685934,0.18478155700219343,0.3678004117707868,1.3949018218292286,0.9631260319207571,-0.963126031920738,1,0.005,0,,0,,0,,0,normal,1,conservative,ok
TRXUSDT,17.647058823530372,3.3335874490246176,0,-0.0010740000000000194,0,-0.19950904920001494,1776046137,2,0,0.8,bear,mean_reversion,normal,0.00020714285714286605,low,asia,0,,live_ai_risk_v3,-0.19950904920001494,0.21340817953427402,0.21320867048507403,0.426616850019348,-0.626125899219363,0.0623247117482013,-0.12464942349641989,0,0.01,0,,0,,0,,0,normal,0,normal,ok
ETHUSDT,28.008998875141117,0.45249922412097315,1,0.8101999999998952,0,-0.3735975099999958,1776046308,2,0,0.8,sideways,mean_reversion,aggressive,3.1114285714285677,low,asia,0,,live_ai_risk_v3,-0.3735975099999958,0.1707265436274192,0.17035294611741922,0.3410794897448384,-0.7146769997448342,0.20336022055711603,-0.2784260737829253,0,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
ADAUSDT,38.2978723404256,3.369705045514674,0,-0.0003919999999999757,1,0.5760490720000006,1776048183,2,0,0.6,bear,scalp,normal,0.000549999999999999,low,asia,0,,live_ai_risk_v3,0.5760490720000006,0.13658123490193536,0.13715728397393534,0.2737385188758707,0.30231055312412985,0.4217629692113036,-0.12652889076338875,1,0.01,0,,0,,0,,0,normal,1,normal,ok
XRPUSDT,30.666666666666913,5.198082932199944,0,-0.004685999999999968,1,0.9519227796000027,1776056088,4,0,0.6,bear,scalp,normal,0.0014000000000000043,low,asia,0,,live_ai_risk_v3,0.9519227796000027,0.21340817953427402,0.21436010231387403,0.4277682818481481,0.5241544977518546,0.44605730702351376,0.0,1,0.01,0,,0,,0,,0,normal,1,normal,ok
DOGEUSDT,29.508196721312373,1.6715642440981842,0,-0.0002504000000000117,1,0.6943917901600173,1776056095,4,0,0.8,sideways,mean_reversion,conservative,9.357142857142996e-05,low,asia,0,,live_ai_risk_v3,0.6943917901600173,0.1707265436274192,0.17142093541757922,0.3421474790449984,0.35224431111501886,0.40672749257998153,-0.10992634934592611,1,0.005,0,,0,,0,,0,normal,0,conservative,ok
TRXUSDT,33.33333333333539,1.7429401873001407,0,-0.00042800000000003946,1,0.2558499564000192,1776058765,5,0,0.6,bear,scalp,normal,0.0001642857142857398,low,asia,0,,live_ai_risk_v3,0.2558499564000192,0.13658123490193536,0.13683708485833537,0.27341831976027076,-0.017568363360251582,0.18732438339058538,-0.031220730565091788,0,0.01,0,,0,,0,,0,normal,1,normal,ok
ETHUSDT,29.34673366834231,0.1245880049104844,0,-5.63799999999992,1,0.7666617599999975,1776059461,5,0,0.8,bear,mean_reversion,normal,3.2650000000000676,low,asia,0,,live_ai_risk_v3,0.7666617599999975,0.1519466238284031,0.1527132855884031,0.3046599094168062,0.4620018505831913,0.5045588537739066,0.0,1,0.01,0,,0,,0,,0,normal,1,normal,ok
BNBUSDT,26.245847176079593,0.15131189058341238,1,1.3738000000000739,0,-0.7673479000000325,1776064300,7,0,0.8,bull,mean_reversion,aggressive,0.528571428571435,low,asia,0,,live_ai_risk_v3,-0.7673479000000325,0.21340817953427402,0.212640831634274,0.426049011168548,-1.1933969111685805,0.03010335485164899,-0.4013780646887799,0,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
ZECUSDT,22.336065573770355,2.7545936647694957,0,-3.2064000000000306,0,-1.412364,1776064643,7,0,0.8,sideways,mean_reversion,conservative,2.498571428571434,low,asia,0,,live_ai_risk_v3,-1.412364,0.1707265436274192,0.1693141796274192,0.3400407232548384,-1.7524047232548383,0.0,-1.4835649680123526,0,0.005,0,,0,,0,,0,normal,0,conservative,ok
DASHUSDT,22.021660649819495,0.4180483900821199,0,-0.37579999999999814,0,-1.6126458600000064,1776064817,7,0,0.8,sideways,mean_reversion,conservative,0.3771428571428567,low,asia,0,,live_ai_risk_v3,-1.6126458600000064,0.13658123490193536,0.13496858904193534,0.2715498239438707,-1.8841956839438772,0.3373493975903628,-1.3253012048192703,0,0.005,0,,0,,0,,0,normal,0,conservative,ok
ADAUSDT,33.33333333333272,0.047423354908378346,0,-0.0004999999999999727,1,0.8974271640000008,1776070019,8,0,0.7,sideways,trend,conservative,0.0003999999999999976,low,europe,0,,live_ai_risk_v3,0.8974271640000008,0.21340817953427402,0.214305606698274,0.427713786232548,0.46971337776745276,0.672834314550038,0.0,1,0.005,0,,0,,0,,0,normal,1,conservative,ok
GIGGLEUSDT,25.60747663551406,0.009559233697605673,1,0.9906000000000006,1,1.8357692599999846,1776070203,8,0,0.8,bull,mean_reversion,aggressive,0.9200000000000007,medium,europe,0,,live_ai_risk_v3,1.8357692599999846,0.1707265436274192,0.1725623128874192,0.3432888565148384,1.4924804034851462,2.9897718332022043,-1.1801730920535085,1,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
NEARUSDT,18.51851851851886,0.23912428586111237,1,0.0009200000000000319,1,1.3886254760000012,1776070748,8,0,0.8,bull,mean_reversion,aggressive,0.004928571428571409,low,europe,0,,live_ai_risk_v3,1.3886254760000012,0.13658123490193536,0.13796986037793535,0.2745510952798707,1.1140743807201305,1.3071895424836613,-0.07262164124910037,1,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
PAXGUSDT,29.916765755054072,2.230285308562852,0,-10.902200000000448,1,0.37001536000001645,1776072892,9,0,0.8,sideways,mean_reversion,conservative,5.131428571428581,low,europe,0,,live_ai_risk_v3,0.37001536000001645,0.1519466238284031,0.15231663918840313,0.30426326301680623,0.06575209698321022,0.24351305902638437,-0.09323314672511547,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
DOTUSDT,22.448979591836675,1.6255574657829635,0,-0.012139999999999818,0,-1.1946491640000159,1776073500,9,0,0.8,bear,mean_reversion,normal,0.006571428571428577,low,europe,0,,live_ai_risk_v3,-1.1946491640000159,0.15570260778820633,0.15450795862420633,0.3102105664124126,-1.5048597304124285,0.17050298380221668,-1.2787723785166345,0,0.02,0,,0,,0,,0,normal,1,normal,ok
JSTUSDT,26.18181818181823,0.040407092091731954,0,-8.560000000000512e-05,1,0.7445976857200104,1776074715,10,0,0.8,sideways,mean_reversion,conservative,0.0009228571428571439,medium,europe,0,,live_ai_risk_v3,0.7445976857200104,0.15187833321095212,0.15262293089667214,0.30450126410762424,0.44009642161238616,1.045026448200239,-0.5547671268223453,1,0.01,0,,0,,0,,0,normal,1,conservative,ok
TRXUSDT,28.571428571429138,0.088918458648094,0,-0.00011200000000000099,0,0.0,1776077461,10,0,0.8,sideways,mean_reversion,conservative,0.00017142857142856842,low,europe,0,,live_ai_risk_v3,0.0,0.15264318812640298,0.15264318812640298,0.30528637625280597,-0.30528637625280597,0.062189054726361305,-0.031094527363180652,0,0.01,0,,0,,0,,0,normal,0,conservative,ok
JSTUSDT,39.96598639455787,0.09922130974833093,1,0.0005406000000000161,0,-1.359439022200012,1776077871,10,0,0.7,bull,trend,normal,0.0005692857142857137,low,europe,0,,live_ai_risk_v3,-1.359439022200012,0.15249021714331282,0.1511307781211128,0.30362099526442565,-1.6630600174644377,0.5858380030565311,-0.8914926133469259,0,0.02,0,,0,,0,,0,normal,1,normal,ok
BARDUSDT,27.777777777777715,1.2282304767217762,0,-0.00031199999999997896,0,-0.09215693899998985,1776078878,11,0,0.8,sideways,mean_reversion,conservative,0.0009714285714285715,low,europe,0,,live_ai_risk_v3,-0.09215693899998985,0.15238149848033086,0.1522893415413309,0.3046708400216618,-0.3968277790216516,0.24191109767161262,-0.39310553371634954,0,0.01,0,,0,,0,,0,normal,1,conservative,ok
ENJUSDT,23.032629558541274,0.36434162018017135,1,0.0007583999999999994,0,-3.3859026908999925,1776081708,12,0,0.8,bull,mean_reversion,aggressive,0.001042142857142856,high,europe,0,,live_ai_risk_v3,-3.3859026908999925,0.15240324221292728,0.14901733952202728,0.30142058173495456,-3.687323272634947,0.0,-2.221673660824483,0,0.025,0,,0,,0,,0,normal,0,aggressive,ok
ZECUSDT,24.665391969407025,0.2372409364947304,0,-1.4777999999999452,1,3.514398720000001,1776083785,12,0,0.8,bear,mean_reversion,normal,1.421428571428578,low,europe,0,,live_ai_risk_v3,3.514398720000001,0.15245123139562242,0.15596563011562242,0.3084168615112448,3.205981858488756,2.3052596537949404,-0.03051486906347471,1,0.02,0,,0,,0,,0,normal,1,normal,ok
TAOUSDT,28.57142857142857,0.6440919501761794,1,0.5640000000000214,1,1.3480046999999733,1776084203,12,0,0.8,sideways,mean_reversion,aggressive,0.6285714285714334,low,europe,0,,live_ai_risk_v3,1.3480046999999733,0.15244163355908338,0.15378963825908334,0.30623127181816673,1.0417734281818065,1.4609765474817202,0.0,1,0.025,0,,0,,0,,0,normal,0,aggressive,ok
TRXUSDT,16.66666666666589,0.002845316358891313,0,-0.0009199999999999764,0,-0.23750328200000023,1776084604,12,0,0.8,sideways,mean_reversion,conservative,0.00017142857142856047,low,europe,0,,live_ai_risk_v3,-0.23750328200000023,0.15242960654333287,0.15219210326133287,0.30462170980466574,-0.542124991804666,0.03116235587410065,-0.15581177937052054,0,0.01,0,,0,,0,,0,normal,1,conservative,ok
BARDUSDT,21.153846153846033,1.3615717870794228,0,-0.0036119999999999486,1,2.013207364799996,1776087854,13,0,0.8,bear,mean_reversion,normal,0.0008142857142857078,low,us,0,,live_ai_risk_v3,2.013207364799996,0.18292225822560748,0.18493546559040747,0.36785772381601495,1.645349640983981,1.100580862121673,-0.18343014368694266,1,0.02,0,,0,,0,,0,normal,1,normal,ok
ZECUSDT,24.47447447447442,0.04721128309739537,0,-3.5820000000000505,0,-4.417097549999993,1776092134,14,0,0.8,sideways,mean_reversion,conservative,2.33642857142857,low,us,0,,live_ai_risk_v3,-4.417097549999993,0.21340817953427402,0.20899108198427402,0.422399261518548,-4.839496811518541,0.36117130632883576,-2.069789409345999,0,0.01,0,,0,,0,,0,normal,0,conservative,ok
PAXGUSDT,29.976995222083602,37.71558536213675,0,-4.228800000000774,1,0.5946402500000291,1776092366,14,0,0.8,sideways,mean_reversion,conservative,7.708571428571498,low,us,0,,live_ai_risk_v3,0.5946402500000291,0.1707265436274192,0.17132118387741924,0.3420477275048385,0.2525925224951906,0.3482993544653552,-0.31085238660589354,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
