symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us
ZKUSDT,34.999999999999915,2.849985870974762,1,4.779999999999715e-05,0,-0.8211,1775117967,8,3,0.75,sideways,breakout,conservative,3.357142857142869e-05,low,europe,0,
POLUSDT,23.076923076923336,2.1708581132852984,0,-0.00015400000000001524,0,-0.8791,1775118558,8,3,0.8,bear,mean_reversion,normal,0.0002214285714285768,low,europe,0,
USDTTRY,42.857142857139955,4.305442572196367,1,0.005799999999993588,0,-0.0755,1775119362,8,3,0.75,bull,breakout,normal,0.01071428571428815,low,europe,0,
USDTTRY,37.49999999999889,2.703127728709282,0,-0.004799999999995919,0,-0.0378,1775119764,8,3,0.7,sideways,trend,conservative,0.011428571428573215,low,europe,0,
JSTUSDT,29.914529914529822,1.704210458610723,0,-0.0005672000000000038,0,-1.9086,1775119765,8,3,0.8,sideways,mean_reversion,conservative,0.0002799999999999995,low,europe,0,
NIGHTUSDT,33.72781065088756,1.8155401493169856,1,2.619999999999706e-05,0,-0.1648,1775120579,9,3,0.75,bull,breakout,normal,0.00023714285714285788,low,europe,0,
ENJUSDT,28.695652173913132,1.5839365478477951,1,2.1800000000002373e-05,0,-0.4613,1775122006,9,3,0.8,bull,mean_reversion,aggressive,0.000156428571428571,low,europe,0,
SXTUSDT,30.00000000000003,0.0,1,3.199999999999731e-05,0,-0.8964,1775122818,9,3,0.7,bull,trend,normal,0.00017142857142857164,medium,europe,0,
NOMUSDT,40.133779264214056,2.849761420103784,1,0.00022300000000000098,1,13.3433,1775124237,10,3,0.75,bull,breakout,normal,0.0012171428571428574,high,europe,0,
RESOLVUSDT,30.769230769230788,1.8448079706466896,1,0.0003739999999999924,1,2.4957,1775125436,10,3,0.75,bull,breakout,normal,0.00041428571428571426,medium,europe,0,
DODOUSDT,29.05982905982914,2.0992439150054603,0,-0.0003492000000000009,1,1.9276,1775126050,10,3,0.8,sideways,mean_reversion,conservative,0.00014214285714285693,low,europe,0,
DOLOUSDT,38.13038130381305,2.298556193344913,1,0.0008281999999999942,0,-0.999,1775129328,11,3,0.75,bull,breakout,normal,0.0013750000000000008,high,europe,0,
BABYUSDT,24.56140350877186,2.0963865948629508,0,-0.0002609999999999991,0,-0.2074,1775130542,11,3,0.8,bear,mean_reversion,normal,6.499999999999983e-05,low,europe,0,
ONTUSDT,31.71428571428578,1.4144052958268234,0,-0.0032725999999999866,0,-3.0784,1775132993,12,3,0.7,sideways,trend,conservative,0.0017392857142857151,medium,europe,0,
ALGOUSDT,28.30188679245279,0.5036352157045141,0,-0.0008159999999999973,1,0.4231,1775133385,12,3,0.8,sideways,mean_reversion,conservative,0.0006500000000000007,low,europe,0,
SUNUSDT,19.999999999999446,2.3303239333306065,0,-0.00013200000000000017,0,0.0,1775133770,12,3,0.8,bear,mean_reversion,normal,3.428571428571462e-05,low,europe,0,
ENJUSDT,28.57142857142857,0.06103899165896609,0,-0.00035280000000000034,0,-1.2376,1775134534,12,3,0.8,sideways,mean_reversion,conservative,7.571428571428536e-05,low,europe,0,
VETUSDT,24.27184466019365,4.433195806118864,0,-6.394000000000104e-05,0,0.0,1775135901,13,3,0.8,bear,mean_reversion,normal,1.3357142857142834e-05,low,us,0,
