AVAXUSDT,23.076923076922924,0.34207707555919575,0,-0.049999999999998934,1,0.14732840999999686,1776327038,8,3,0.8,sideways,mean_reversion,conservative,0.032142857142856966,low,europe,0,,live_ai_risk_v3,0.14732840999999686,0.13952,0.13966732841,0.27918732841000005,-0.1318589184100032,0.4223864836325147,0.0,0,0.01,0,,0,,0,,0,normal,0,conservative,ok
BTCUSDT,24.741056662894977,2.3056944681905907,0,-311.7146000000066,1,0.14509210000000547,1776327587,8,3,0.8,sideways,mean_reversion,conservative,81.20357142857185,low,europe,0,,live_ai_risk_v3,0.14509210000000547,0.140096,0.1402410921,0.2803370921,-0.13524499209999455,0.14021020408136542,0.0,0,0.01,0,,0,,0,,0,normal,0,conservative,ok
ARKMUSDT,29.577464788732343,2.1312815620343457,0,-3.399999999999237e-05,1,1.4087386643999997,1776331463,9,3,0.8,sideways,mean_reversion,conservative,0.0022714285714285722,medium,europe,0,,live_ai_risk_v3,1.4087386643999997,0.0712,0.07260873866440001,0.14380873866440003,1.2649299257355997,5.11129431162407,-0.412201154163232,1,0.01,0,,0,,0,,0,normal,1,conservative,ok
BTCUSDT,25.339580852889313,0.20253395212150918,0,-382.50999999999476,1,0.37591943999999894,1776336670,10,3,0.8,bear,mean_reversion,normal,102.73928571428716,low,europe,0,,live_ai_risk_v3,0.37591943999999894,0.13721600000000003,0.13759191944000002,0.27480791944000005,0.10111152055999889,0.815191063054675,-0.0037274950802502435,1,0.02,0,,0,,0,,0,normal,0,normal,ok
XRPUSDT,23.80952380952364,0.3359037241363921,0,-0.007007999999999903,0,-0.24653095680001846,1776338248,11,3,0.8,sideways,mean_reversion,conservative,0.0026500000000000573,low,europe,0,,live_ai_risk_v3,-0.24653095680001846,0.14407680000000006,0.1438302690432,0.28790706904320007,-0.5344380258432185,1.8964779694852385,-0.17111079423928274,0,0.01,0,,0,,0,,0,normal,0,conservative,ok
SIGNUSDT,16.571428571428598,3.602859430251838,0,-0.0036492000000000017,0,-0.9802143838750008,1776347160,13,3,0.8,bear,mean_reversion,normal,0.0009328571428571425,high,us,0,,live_ai_risk_v3,-0.9802143838750008,0.08559232000000003,0.08461210561612503,0.17020442561612506,-1.1504188094911258,3.7562986715529147,-1.1452130096197903,0,0.01,0,,0,,0,,0,normal,1,normal,ok
BTCUSDT,28.214981899192267,5.680367223662723,0,-852.895199999999,1,1.3436903200000176,1776347847,13,3,0.8,bear,mean_reversion,normal,228.7571428571412,low,us,0,,live_ai_risk_v3,1.3436903200000176,0.17118464000000005,0.17252833032000006,0.34371297032000014,0.9999773496800175,1.7124037520332906,-0.23048064832675666,1,0.01,0,,0,,0,,0,normal,1,normal,ok
ETHUSDT,26.7386900742746,7.030304174632878,0,-31.57860000000028,1,0.9855980999999956,1776347848,13,3,0.8,bear,mean_reversion,normal,8.434285714285709,low,us,0,,live_ai_risk_v3,0.9855980999999956,0.13694771200000003,0.13793331010000004,0.2748810221000001,0.7107170778999955,1.9203139175011714,-0.6936396112492901,1,0.01,0,,0,,0,,0,normal,0,normal,ok
BNBUSDT,29.011553273427495,0.30385108577235825,0,-4.256399999999985,1,2.0658507999999847,1776349248,14,3,0.8,bear,mean_reversion,normal,1.6878571428571345,low,us,0,,live_ai_risk_v3,2.0658507999999847,0.13837352960000004,0.14043938040000004,0.2788129100000001,1.7870378899999846,1.875922950846266,-0.05030589228048928,1,0.01,0,,0,,0,,0,normal,0,normal,ok
GIGGLEUSDT,22.72727272727282,1.481528241654299,0,-1.2270000000000039,1,4.297564680000013,1776357499,16,3,0.8,bear,mean_reversion,normal,0.46499999999999986,medium,us,0,,live_ai_risk_v3,4.297564680000013,0.08616264704000003,0.09046021172000003,0.17662285876000006,4.120941821240013,4.987735077677857,-1.1447260834014572,1,0.01,0,,0,,0,,0,normal,0,normal,ok
PAXGUSDT,23.825590448998653,3.9083073681656693,0,-18.399199999999837,1,0.0929646199999811,1776358118,16,3,0.8,bear,mean_reversion,normal,4.724999999999974,low,us,0,,live_ai_risk_v3,0.0929646199999811,0.13786023526400004,0.137953199884,0.27581343514800005,-0.18284881514801896,0.15057560088878555,-0.07602078320255055,0,0.01,0,,0,,0,,0,normal,0,normal,ok
WLDUSDT,25.373134328358063,0.06986935237144745,0,-0.003306000000000031,1,2.926888786799998,1776361238,17,3,0.8,sideways,mean_reversion,conservative,0.002028571428571435,low,us,0,,live_ai_risk_v3,2.926888786799998,0.13796289413120005,0.14088978291800003,0.2788526770492001,2.648036109750798,3.0215364834458436,-0.06428801028607457,1,0.005,0,,0,,0,,0,normal,0,conservative,ok
BONKUSDT,27.272727272727337,2.9815712221038804,1,6.04000000000003e-08,0,-3.353658536585384,1776370992,20,3,0.8,bull,mean_reversion,aggressive,4.071428571428575e-08,low,us,0,,live_ai_risk_v3,-3.353658536585384,0.20000000000000007,0.19664634146341467,0.3966463414634147,-3.750304878048799,0.15243902439024246,-1.67682926829268,0,0.0125,0,,0,,0,,0,normal,1,aggressive,ok
SHIBUSDT,28.571428571428626,0.15017663556043345,1,1.3799999999999766e-08,0,-0.25477707006368755,1776371226,20,3,0.8,bull,mean_reversion,aggressive,3.142857142857131e-08,low,us,0,,live_ai_risk_v3,-0.25477707006368755,0.16000000000000006,0.15974522292993637,0.31974522292993646,-0.574522292993624,0.31847133757961477,-0.7961783439490505,0,0.0125,0,,0,,0,,0,normal,1,aggressive,ok
BOMEUSDT,25.352112676056265,0.2437320581029632,1,1.1220000000000045e-05,0,-2.2535211267600057,1776371465,20,3,0.8,bull,mean_reversion,aggressive,1.1357142857142861e-05,medium,us,0,,live_ai_risk_v3,-2.2535211267600057,0.12800000000000006,0.12574647887324006,0.2537464788732401,-2.507267605633246,0.0,-1.7605633802816947,0,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
DOGEUSDT,18.354430379746773,0.4961853006375303,0,-1.56000000000045e-05,1,0.8206798288500072,1776371974,20,3,0.8,sideways,mean_reversion,conservative,0.00031928571428571146,low,us,0,,live_ai_risk_v3,0.8206798288500072,0.12800000000000006,0.12882067982885007,0.25682067982885015,0.5638591490211571,1.4553226134744561,-0.08141664970486133,1,0.005,0,,0,,0,,0,normal,0,conservative,ok
XAUTUSDT,26.403454657615953,3.7964809233722643,0,-2.961199999999735,1,0.04972839999998803,1776384291,0,4,0.8,bear,mean_reversion,normal,1.1821428571427401,low,asia,0,,live_ai_risk_v3,0.04972839999998803,0.17440000000000005,0.17444972840000006,0.3488497284000001,-0.2991213284000121,0.1968702040405443,-0.3543244353871685,0,0.01,0,,0,,0,,0,normal,0,normal,ok
WLDUSDT,24.691358024691397,2.6084448370670845,1,0.00040400000000001546,0,-1.3826695584000155,1776384543,0,4,0.8,bull,mean_reversion,aggressive,0.0014785714285714244,low,asia,0,,live_ai_risk_v3,-1.3826695584000155,0.13952000000000003,0.13813733044160004,0.27765733044160007,-1.6603268888416156,0.4955094456488046,-0.9910188912976264,0,0.0125,0,,0,,0,,0,normal,0,aggressive,ok
OPNUSDT,28.47682119205301,1.1714552951897736,0,-0.006285999999999986,0,-2.1598189856000056,1776387858,1,4,0.8,sideways,mean_reversion,conservative,0.00265714285714286,medium,asia,0,,live_ai_risk_v3,-2.1598189856000056,0.13721600000000003,0.13505618101440003,0.2722721810144001,-2.4320911666144056,0.8362026561731329,-1.6232169208066884,0,0.005,0,,0,,0,,0,normal,0,conservative,ok
FETUSDT,28.57142857142864,0.4275227465748326,0,-0.003131999999999996,0,-1.4012905848000077,1776390431,1,4,0.8,sideways,mean_reversion,conservative,0.0009071428571428544,low,asia,0,,live_ai_risk_v3,-1.4012905848000077,0.13767680000000004,0.13627550941520006,0.2739523094152001,-1.6752428942152078,0.38167938931297035,-1.0178117048346111,0,0.005,0,,0,,0,,0,normal,0,conservative,ok
ASTERUSDT,14.285714285714405,1.5001813223640175,0,-0.007260000000000044,0,-0.8518146240000007,1776391734,2,4,0.8,sideways,mean_reversion,conservative,0.0023571428571428194,low,asia,0,,live_ai_risk_v3,-0.8518146240000007,0.14502144000000008,0.14416962537600006,0.28919106537600014,-1.141005689376001,0.44052863436123385,-0.5873715124816451,0,0.005,0,,0,,0,,0,normal,1,conservative,ok
ZECUSDT,22.877192982456393,0.47087135701231025,0,-5.88779999999997,1,0.5419436399999961,1776392512,2,4,0.8,bear,mean_reversion,normal,1.7471428571428598,low,asia,0,,live_ai_risk_v3,0.5419436399999961,0.14346035200000004,0.14400229564000003,0.28746264764000007,0.254480992359996,0.5786412424296956,-0.09294237572704991,1,0.01,0,,0,,0,,0,normal,0,normal,ok
BIOUSDT,13.725490196078326,1.6120381486855926,0,-0.0029920000000000016,1,4.899676282800007,1776393300,2,4,0.8,bear,mean_reversion,normal,0.0006214285714285719,medium,asia,0,,live_ai_risk_v3,4.899676282800007,0.07115182080000003,0.07605149708280003,0.14720331788280006,4.752472964917207,6.88622754491019,0.0,1,0.02,0,,0,,0,,0,normal,1,normal,ok
TRXUSDT,6.250000000002373,1.22516493994511,0,-0.0011419999999999764,1,0.08743695339999037,1776397704,3,4,0.8,bear,mean_reversion,normal,0.0001999999999999978,low,asia,0,,live_ai_risk_v3,0.08743695339999037,0.14230364160000006,0.14239107855340002,0.2846947201534001,-0.19725776675340972,0.1228878648233522,-0.1228878648233522,0,0.02,0,,0,,0,,0,normal,0,normal,ok
AAVEUSDT,28.38427947598244,0.3818291060094768,0,-0.9381999999999948,1,0.657367359999995,1776401864,4,4,0.8,sideways,mean_reversion,conservative,0.3264285714285689,low,asia,0,,live_ai_risk_v3,0.657367359999995,0.14253498368000006,0.14319235104000005,0.2857273347200001,0.37164002527999485,1.0022172949002177,-0.8869179600886918,1,0.01,0,,0,,0,,0,normal,0,conservative,ok
TRBUSDT,28.795811518324513,1.2713271218771272,0,-0.5986000000000011,0,-1.4840305199999808,1776402897,5,4,0.8,sideways,mean_reversion,conservative,0.24642857142857114,medium,asia,0,,live_ai_risk_v3,-1.4840305199999808,0.14303227494400006,0.14154824442400007,0.2845805193680001,-1.7686110393679808,0.04940711462451366,-1.6304347826086873,0,0.01,0,,0,,0,,0,normal,0,conservative,ok
ETHUSDT,24.46965959546148,0.5059740442169036,0,-8.867599999999584,1,2.3530889999999784,1776405484,5,4,0.8,bear,mean_reversion,normal,3.108571428571427,low,asia,0,,live_ai_risk_v3,2.3530889999999784,0.17149300326400008,0.17384609226400005,0.34533909552800013,2.007749904471978,1.614022983549291,0.0,1,0.02,0,,0,,0,,0,normal,0,normal,ok
