symbol,rsi,volume,trend,momentum,result,pnl,timestamp,hour,day_of_week,signal_confidence,market_regime,strategy_name,risk_mode,atr,volatility_context,market_session,is_holiday_us,holiday_name_us,dataset_version,pnl_gross,fee_entry,fee_exit,fee_total,pnl_net,mfe_pct,mae_pct,risk_per_trade_used
HBARUSDT,27.27272727272795,0.282424289793789,1,9.080000000001587e-05,0,-0.42248154258000997,1775204513,8,4,0.8,bull,mean_reversion,aggressive,0.00019285714285714343,low,europe,0,,,,,,,,0.0,-0.30103690489464413,
HBARUSDT,29.357798165137496,1.429232244073806,0,-0.0002092000000000066,0,-0.29806618371999327,1775206107,8,4,0.8,sideways,mean_reversion,conservative,0.00014785714285714402,low,europe,0,,,,,,,,0.0,-0.2123854236530245,
XRPUSDT,32.214765100671244,0.29371031095129824,0,-0.0048160000000001535,0,-0.3196103798999986,1775207535,9,4,0.7,sideways,trend,conservative,0.0018285714285714175,low,europe,0,,,,,,,,0.0,-0.1598051898637844,
PUMPUSDT,38.888888888888985,1.1986769421478374,1,7.000000000000062e-06,0,-0.24009603841600582,1775208239,9,4,0.7,bull,trend,normal,4.499999999999993e-06,low,europe,0,,,,,,,,0.0,-0.12004801920768599,
ONEUSDT,37.50000000000021,3.358967810490239,0,-6.41999999999995e-05,0,-0.7174887892400019,1775208591,9,4,0.7,sideways,trend,conservative,1.428571428571423e-05,low,europe,0,,,,,,,,0.0,-0.44843049327354373,
HBARUSDT,25.423728813559734,0.012781039794819576,0,-0.0006099999999999994,0,-0.35930833150000036,1775208944,9,4,0.8,sideways,mean_reversion,conservative,0.0001514285714285712,low,europe,0,,,,,,,,0.0,-0.28070963395463755,
XRPUSDT,19.16666666666525,0.03766519860897133,0,-0.005990000000000162,0,-0.10736617319998817,1775210178,9,4,0.8,sideways,mean_reversion,conservative,0.001457142857142871,low,europe,0,,,,,,,,0.0,-0.08387982308981844,
MANTRAUSDT,37.50000000000027,1.1370254163927522,1,4.119999999999992e-05,0,-1.104972375719987,1775211772,10,4,0.7,bull,trend,normal,2.714285714285715e-05,low,europe,0,,,,,,,,0.0,-0.5524861878452973,
XRPUSDT,37.39130434782634,4.390132429312735,0,-0.004742000000000246,1,1.2074090985000023,1775211773,10,4,0.7,sideways,trend,conservative,0.0016857142857142904,low,europe,0,,,,,,,,0.7546306883146596,0.0,
MBLUSDT,30.769230769230646,1.4557984447472743,0,-4.360000000000019e-06,1,0.6881720430099869,1775212123,10,4,0.7,sideways,trend,conservative,1.6428571428571054e-06,low,europe,0,,,,,,,,0.5376344086021403,0.0,
